,created_at,text,screen_name,location
0,19-09-2021 06:25,b'#Loot\nGet Pharmeasy Plus 3 Months Membership At Re.1\n\nVisit Here: https://t.co/2nJOiSTtgO\n\n#on9deals #Membership\xe2\x80\xa6 https://t.co/pnI0UqDYJv',b'on9deals',"b'Mumbai, India'"
1,19-09-2021 04:45,"b'@traffic_jpr Is face mask still mandatory, in private car, for fully vaccinated driver and passangers? #COVID19 @jaipur_police'",b'mrinaljaipur',"b'Jaipur, India'"
2,19-09-2021 04:22,b'Don\xe2\x80\x99t let your guard down. The #Covid19 third wave is expected - and we can make a difference to its impact. \n\nMask\xe2\x80\xa6 https://t.co/HActzU1TFd',b'MayaSharmaNDTV',"b'Bengaluru, India'"
3,18-09-2021 12:45,"b'By using Mask and Getting Vaccinated, you unlock your chances of getting free from worries and stay safe.\n\n#DoITC\xe2\x80\xa6 https://t.co/rTxk2MqQFZ'",b'DoITCRaj',"b'Jaipur, India'"
4,18-09-2021 08:28,"b'On an average , 4 out of 10 people I see inside a hospital(or any public place) wear their mask under their nose.\xe2\x80\xa6 https://t.co/wNheSfeu2y'",b'sajanjohn',"b'Bengaluru, India'"
5,18-09-2021 07:08,b'@waseem04ab precautions against COVID19 as suggested by the Government of India. In the interest of all our custome\xe2\x80\xa6 https://t.co/T1i4ELC752',b'POCOSupport',b'India'
6,18-09-2021 07:00,b'@shady_satiesh45 COVID19 as suggested by the Government of India. In the interest of all our customers and employee\xe2\x80\xa6 https://t.co/BUDeQAantI',b'RedmiSupportIN',b'India'
7,18-09-2021 05:54,"b""#Jharkhand has no #COVID19 guidelines right now. atleast, it don't appear from this very picture where the CM\xe2\x80\xa6 https://t.co/N6Y82JL8L6""",b'HinduUrjaa',"b'Patna, India'"
8,18-09-2021 05:29,"b'Dear @DGCAIndia,\nFlights mein Mask, Face-shield &amp; PPE Gown distribution band karne ke liye bahut-bahut dhanyawaad \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\n#ChineseVirus #COVID19'",b'Manish_B2V',"b'Bhubaneshwar, India'"
9,18-09-2021 04:49,b'@LakshayKaushal3 against COVID19 as suggested by the Government of India. In the interest of all our customers and\xe2\x80\xa6 https://t.co/Y7kDoP3Tl3',b'POCOSupport',b'India'
10,18-09-2021 04:00,"b'I am fully vaccinated!\nI wear mask when I step outside\nIn short, I am following all govt orders during #COVID19 \xf0\x9f\x99\x82\n#CovidVaccine'",b'trishnadas56',b'India'
11,17-09-2021 16:25,"b'Vaccine Podu, Mask Podu: #MSDhoni urges fans to take #COVID19 jab, wear masks\n#CSK #IPL2021 \n\nhttps://t.co/SUWu0ngiaa - via @mykhelcom'",b'Oneindia',b'India'
12,17-09-2021 10:45,"b""Mask, sanitize, and don't socialize. \nGet your 2 doses and stay safe.\n\n@MoHFW_INDIA @COVIDNewsByMIB @projectmumbai1\xe2\x80\xa6 https://t.co/C8ptMyvxDy""",b'HelpNowIndia',"b'Mumbai, India'"
13,17-09-2021 08:42,b'All the #COVID19 warriors must be happy seeing the dashboard https://t.co/LQDWSUMp0Z \n\nTake jab and wear mask and s\xe2\x80\xa6 https://t.co/209bcJb5Fh',b'kunjee',b'India'
14,17-09-2021 07:45,"b'The speaker has removed the mask only for the video recording to ensure voice clarity. Passenger #safety, especiall\xe2\x80\xa6 https://t.co/AOBfgDHKQd'",b'AAI_Official',"b'New Delhi, India'"
15,17-09-2021 06:00,b'BJP filed a complaint against West Bengal CM Mamata Banerjee for violating the covid norms in her visit to gurudwar\xe2\x80\xa6 https://t.co/uid4bIxpLv',b'briflynews',b'India'
16,17-09-2021 02:55,b'#MaskUp #NirmalaSitharaman  when FM is not using mask why a common man is fined for the same.\n#COVID19',b'ankitcts1',"b'Noida, India'"
17,16-09-2021 18:41,b'Few things to remember about wearing mask- \n\nhttps://t.co/v2PE11jGj8\n#mask #MaskUp #VaccineMandates #COVID19 #COVIDIOTS #india',b'AbhishekAcer',"b'Bengaluru, India'"
18,16-09-2021 13:54,"b""And this is how the 3rd wave will start, last time it was Maharashtra, this time it's Kerala!\n\nWith festivals comin\xe2\x80\xa6 https://t.co/px8TzRF7ct""",b'Misnomer30',b'India'
19,16-09-2021 11:26,b'@hmrgov You always announce about wearing a mask all the time but why you don\xe2\x80\x99t run a/c al the time while travellin\xe2\x80\xa6 https://t.co/aaCK9XMgTg',b'urstrulyAndy',"b'Hyderabad, India'"
20,16-09-2021 10:48,b'#Covid19: Appeals Court Backs Florida Ban on School Mask Mandates  https://t.co/lUpwqaitD2. High time we must end t\xe2\x80\xa6 https://t.co/qKTNPWWXe6',b'_Perry4Law',"b'New Delhi, India'"
21,16-09-2021 07:50,b'@ncfdeepak An important point raised by @ncfdeepak. The pandemic continues and while we are responding to Covid eme\xe2\x80\xa6 https://t.co/wZxdaDgwDZ',b'RiseIndia2030',b'India'
22,16-09-2021 05:57,"b""@trishgreenhalgh Ppl in power or authority who don't want to wear #MASK  try to justify by giving illogical reasons\xe2\x80\xa6 https://t.co/7yl2mB9SK6""",b'parpalpkj',b'India'
23,16-09-2021 05:47,b'Best way to encourage people to wear mask in public.\n\nInstall that monkey face filter in all CCTV\n\n#instafilters\xe2\x80\xa6 https://t.co/d3w2h00GF6',b'VenkysViews',"b'Chennai, India'"
24,16-09-2021 04:43,b'Be a #responsible citizen &amp; follow the rules to curb the #covid spread.\n.\n.\n.\n.\n.\n.\n.\n.\n. \n#covid19 #covidvacccine\xe2\x80\xa6 https://t.co/jWJYiZAuZH',b'PhoenixUniLko',"b'Lucknow, India'"
25,16-09-2021 04:36,b'Be a #responsible citizen &amp; follow the rules to curb the #covid spread.\n.\n.\n.\n.\n.\n.\n.\n#covid19 #covidvacccine\xe2\x80\xa6 https://t.co/A2NUGZlsBs',b'PhoenixUnitedBE',"b'Bareilly, India'"
26,16-09-2021 04:19,"b'https://t.co/Wsk4zpSijT\nSince the start of the pandemic, first detected in late 2019 in the central #Chinese city o\xe2\x80\xa6 https://t.co/avMiDbxmVc'",b'NewsLiveGhy',"b'Guwahati, India'"
27,16-09-2021 03:32,b'Startup Idea \xf0\x9f\x92\xa1 : A startup which deliver Mask anywhere anytime\n:)\nI always forget to take mask when go outside!\n#startups #covid19',b'ThajAboobaker',"b'Cochin, India'"
28,15-09-2021 21:53,b'#Covid19: Appeals Court Backs Florida Ban on School Mask Mandates  https://t.co/CgOYekKg0W. High time we must end t\xe2\x80\xa6 https://t.co/q48oXFUzYY',b'_Orwellian',"b'New Delhi, India'"
29,15-09-2021 17:11,"b'#SpreadingMasks: Shri Tharanathan AK handing over free #N95 masks to Family Health Centre (FHC), Adat, FHV Kadangod\xe2\x80\xa6 https://t.co/9JXB3Vnftq'",b'TibetHeritage',"b'Mumbai, India'"
30,15-09-2021 16:08,b'I am fully vaccinated\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x8a\nWeak mask &amp; safe from covid19 \n#wearmask \n#washhands \n#usesenitizer https://t.co/p2fsA07Hfn',b'A_M_Amarjit',"b'Agartala, India'"
31,15-09-2021 13:37,"b'Sharp increase in number of fresh #COVID19 cases in #Mumbai over the last 24 hours. \nPlease, please wear a mask, pr\xe2\x80\xa6 https://t.co/4sTBnb8uGK'",b'NotMengele',"b'Mumbai, India'"
32,15-09-2021 13:28,b'India has reported great decline in various kinds of respiratory diseases ( excluding covid ) because people have s\xe2\x80\xa6 https://t.co/Ac3us6qCLr',b'chiikoriitaa',b'India'
33,15-09-2021 12:34,b'Wear a mask going outside #COVID19 #Corona https://t.co/HROMfLrCs3',b'Backpackerrider',"b'Jalandhar, India'"
34,15-09-2021 11:31,b'After long time came to airport \nFlying to Ahmedabad\n\nWear mask stay safe\n#COVID19 https://t.co/zUhI4BvdgW',b'krishstocks',"b'Bengaluru, India'"
35,15-09-2021 11:11,b'We are committed to your safety and so should you. Please wear a mask at all times when going out.\n\n#Safety\xe2\x80\xa6 https://t.co/UgMRiihl6h',b'SPICinemas',b'India'
36,15-09-2021 11:05,"b'Did you know that the Indian surgical mask market was valued at $71.73 million in 2019, and is expected to reach $1\xe2\x80\xa6 https://t.co/7VwDKeSOgR'",b'consult_dna',"b'Bengaluru, India'"
37,15-09-2021 09:25,b'#WestBengal extends #COVID19 restrictions till September 30 with existing relaxations\n\nhttps://t.co/2HeSTD0wVI',b'ZeeNewsEnglish',b'India'
38,15-09-2021 08:49,b'Why is no one wearing a Mask at the #MetGala2021 \n#COVID19 is still not over.',b'writernextdoor_',"b'Hyderabad, India'"
39,15-09-2021 05:13,b'#Hot\nNetmeds Prescription Medicines Flat 20% Off + 100% Netmeds Cashback\n\nVisit Here: https://t.co/p1LsQgXCkX\xe2\x80\xa6 https://t.co/dTEk2SHBDX',b'on9deals',"b'Mumbai, India'"
40,15-09-2021 05:09,"b'Being obsessed with #Modi , this local New York daily forgets the fact that America registers over 110,000 #COVID19\xe2\x80\xa6 https://t.co/jmOECBIBtx'",b'rijubose',"b'New Delhi, India'"
41,14-09-2021 18:39,b'Please give me a mask which is 100% effective against covid.\nShopkeeper :- Please Try this. \n#COVID19 #MetGala2021\xe2\x80\xa6 https://t.co/8ugnAQsVXe',b'1indianbhukkad',"b'Mumbai, India'"
