,text,polarity,sentiment
0,loot nget pharmeasy plus months membership re n nvisit membership,0.0,neutral
1,jpr face mask still mandatory private car fully vaccinated driver passangers covid police,0.0,neutral
2,don t let guard covid third wave e ected make difference impact n nmask,0.0,neutral
3,using mask getting vaccinated unlock chances getting free worries stay safe n n doitc,0.45,positive
4,average people see inside hospital public place wear mask nose,-0.075,negative
5,precautions covid suggested government india interest custome,0.0,neutral
6,satiesh covid suggested government india interest customers employee,0.0,neutral
7,jharkhand covid guidelines right now atleast don t appear picture cm,0.2857142857142857,positive
8,dear nflights mein mask face shield amp ppe gown distribution band karne ke liye bahut bahut dhanyawaad f f f f n chinesevirus covid,0.0,neutral
9,covid suggested government india interest customers,0.0,neutral
10,fully vaccinated ni wear mask step outside nin short following govt orders covid f n covidvaccine,0.0,neutral
11,vaccine podu mask podu msdhoni urges fans take covid ja wear masks n csk ipl n via,0.0,neutral
12,mask sanitize don t socialize nget doses stay safe n n india,0.5,positive
13,covid warriors must happy seeing dashboard n ntake ja wear mask s,0.8,positive
14,speaker removed mask video recording ensure voice clarity passenger safety especiall,0.0,neutral
15,bjp filed complaint west bengal cm mamata banerjee violating covid norms visit gurudwar,-0.3,negative
16,maskup nirmalasitharaman fm using mask common man fined n covid,-0.3,negative
17,things remember wearing mask n maskup vaccinemandates covid covidiots india,0.0,neutral
18,rd wave will start last time maharashtra time s kerala n nwith festivals comin,0.0,neutral
19,always announce wearing mask time don t run c al time travellin,0.0,neutral
20,covid appeals court backs florida ban school mask mandates high time must end t,0.16,positive
21,important point raised pandemic continues responding covid eme,0.4,positive
22,ppl power authority don t want wear mask try justify giving illogical reasons,0.0,neutral
23,best way encourage people wear mask public n ninstall monkey face filter cctv n n instafilters,0.31666666666666665,positive
24,responsible citizen amp follow rules cur covid spread n n n n n n n n n n covid covidvacccine,0.2,positive
25,responsible citizen amp follow rules cur covid spread n n n n n n n n covid covidvacccine,0.2,positive
26,start pandemic first detected late central chinese city o,-0.012499999999999997,negative
27,startup idea f startup deliver mask anywhere anytime n ni always forget take mask go outside n startups covid,0.0,neutral
28,covid appeals court backs florida ban school mask mandates high time must end t,0.16,positive
29,spreadingmasks shri tharanathan ak handing free n masks family health centre fhc adat fhv kadangod,0.4,positive
30,fully vaccinated f e f e nweak mask amp safe covid n wearmask n washhands n usesenitizer,0.5,positive
31,sharp increase number fresh covid cases mumbai last hours nplease please wear mask pr,0.05833333333333333,positive
32,india reported great decline various kinds respiratory diseases e luding covid people s,0.4,positive
33,wear mask going outside covid corona,0.0,neutral
34,long time came airport nflying ahmedabad n nwear mask stay safe n covid,0.225,positive
35,committed safety please wear mask times going n n safety,0.0,neutral
36,know indian surgical mask market valued million e ected reach,0.0,neutral
37,westbengal e ends covid restrictions till september e sting rela tions n,0.0,neutral
38,one wearing mask metgala n covid still,0.0,neutral
39,hot nnetmeds prescription medicines flat netmeds cashback n nvisit,0.1125,positive
40,obsessed modi local new york daily forgets fact america registers covid,-0.09090909090909091,negative
41,please give mask effective covid nshopkeeper please try n covid metgala,0.6,positive
42,covid inspires patients says precautions need taken though avoid wearing mask talk,0.0,neutral
43,neglect mask n n covid vaccineswork fauci maskssavelives,0.0,neutral
44,study shows washing drying reusable masks doesn t make useless n n facemask resuablemask clothmask,-0.5,negative
45,smart assist performs mask wearing monitoring complete body temperature scanning data recording facial image,0.10476190476190476,positive
46,e erienced f n n covid rdwave thirdwaveofcorona mask facemask galattamemes,0.0,neutral
47,educational spaces started opening students essential follow covid safety protocols,0.125,positive
48,covid advisory tickets nno one check rtpcr vaccine,0.0,neutral
49,everyone must used face mask f bcz covid gone yet n nlet s stand together indiafightscorona,0.0,neutral
50,covid suggested government india interest customers empl,0.0,neutral
51,wish someone provide answers following questions nrisk getting covid casual contact,-0.25000000000000006,negative
52,community mask wearing reduce covid spreading s first kind large rct found bang,0.3547619047619048,positive
53,great work police year pandemic still need aware ppl regarding covid consequences,0.525,positive
54,nbut first wear mask n nin distribution drives people come collect ration,0.25,positive
55,first wear mask n nin distribution drives people come collect rati,0.25,positive
56,first wear mask n nin distribution drives people come collect ration kits,0.25,positive
57,rash,0.0,neutral
58,congratulations india nindia crossed crore vaccines administration mark nbut question,0.0,neutral
59,people now mask needed f jogeshwari registration office n n n covid covid india n,0.0,neutral
60,stay safe nwear mask avoid crowds choose outdoor spaces stay least feet apart people don t live,0.11212121212121212,positive
61,ve worn mask bra year f n n covid,0.0,neutral
62,bycycle city f n ahmedabad photooftheday photographer sundayvibes sunghoon lucknow sungchan dslr city night,0.0,neutral
63,surya tejaswi anna becoming photogenic wearing mask occasions,0.45,positive
64,finally got first ja covid vaccine today let s hope enough us vaccinated helps stop spre,0.08333333333333333,positive
65,taliban terrorist covid n mask burkha compulsary n home isolation n spread come contact n kills,0.0,neutral
66,dream dream others nyes rainbow f c,0.0,neutral
67,footage vaccine centre civil hospital abohar clearly shows mismanagement hospital staff l,0.10000000000000002,positive
68,masks imperative fight covid wear mask stepping house n nwr requests eve,0.0,neutral
69,entitled long wore mask nthe younger woman election manager alisa keane,-0.025,negative
70,good f d f d f d n napart jokes n nkeep sanitized always use mask social distance,0.36666666666666664,positive
71,wear mask e rcising covid mythbuster n,0.0,neutral
72,mask wearing protect covid may saving oral hygiene woes,0.0,neutral
73,covid suggested government india interest customers employee,0.0,neutral
74,new normal face masks fast becoming new age fashion accessory n n mask facemask covid,0.21454545454545454,positive
75,keep calm wear mask always nprotect covid n beekayturbotmt solidbharosa wecare ma afety,0.30000000000000004,positive
76,australia recorded new highs infections current outbreak florida posted record number,0.06818181818181818,positive
77,dear citizens staying safe taking necessary precautions help slow spread vi,0.06666666666666665,positive
78,socialdistancing nis easy f n n corona covid mask,0.43333333333333335,positive
79,wearing masks matter better control covid n na large rct bangladesh shows increasing mask wear,0.35714285714285715,positive
80,provided o genconcentrater amp n mask covid rd wave preparedness district administration,0.0,neutral
81,board hasn t directly voted masks doesn t mean haven t voted masks o,-0.10625,negative
82,happened follow science indiana continues moving backwards response,0.0,neutral
83,dear shoppers fitting rooms meant clothes trials mask trials horrifying see store assistan,-0.2,negative
84,wearing mask true symbol social responsibility n ind,0.19166666666666665,positive
85,regarding mask ll disagree sir e ept much crowd n mask creates trouble brea,0.0,neutral
86,side effect mountains travel long got panic seeing many people around n nand people beha,0.225,positive
87,n bmc governor,0.0,neutral
88,ready tame badass tresses moisturization amp nourishment n n haircare hairgrowth hairmask,-0.008333333333333331,negative
89,good morning friends don t forget wear mask whenever crowded public place great sunday,0.5,positive
90,first time alabama s known history state deaths births,0.25,positive
91,health issues consult online wherever nvisit india mask health,0.0,neutral
92,limit count abilities ntake business online bmdu feel proud,0.8,positive
93,death percentage preventable disease unacceptable weather s near nothing n nit s e use,0.1,positive
94,mumbai nearly people fined weekend flouting mask rule,0.1,positive
95,thank ipsha pathak g prop aavran giving us opportunity aap yunhi aage badhte rahiya ncotton mask,0.0,neutral
96,latest research n mask tinea maskne fungus,0.5,positive
