trigram,repetation,polarity,sentiment
new covid cases,47,0.13636363636363635,positive
f f f,38,0.0,neutral
n n n,25,0.0,neutral
covid cases recoveries,24,0.0,neutral
reports new covid,23,0.13636363636363635,positive
india reports new,21,0.13636363636363635,positive
f e f,20,0.0,neutral
deaths last hours,19,0.0,neutral
last hours per,15,0.0,neutral
n n covid,14,0.0,neutral
c f f,14,0.0,neutral
covid vaccine doses,13,0.0,neutral
e f e,13,0.0,neutral
f f n,12,0.0,neutral
last hours n,12,0.0,neutral
hours per union,11,0.0,neutral
per union health,11,0.0,neutral
free n npincode,10,0.4,positive
dose slots n,10,0.0,neutral
slots n nage,10,0.0,neutral
cases recoveries last,10,0.0,neutral
recoveries last hours,10,0.0,neutral
n n f,9,0.0,neutral
n f f,9,0.0,neutral
hours n n,8,0.0,neutral
e f f,8,0.0,neutral
report india abc,7,0.0,neutral
india abc live,7,0.13636363636363635,positive
abc live india,7,0.13636363636363635,positive
recoveries deaths last,7,0.0,neutral
covid cases last,7,0.0,neutral
crore covid vaccine,7,0.0,neutral
union health ministry,7,0.0,neutral
cases deaths last,7,0.0,neutral
f n n,7,0.0,neutral
covid cases reported,7,0.0,neutral
fight corona vr,7,0.0,neutral
corona vr available,7,0.4,positive
vr available n,7,0.4,positive
available n ue,7,0.4,positive
n ue unrealengine,7,0.0,neutral
ue unrealengine indiedev,7,0.0,neutral
unrealengine indiedev gamer,7,0.0,neutral
indiedev gamer indiegamedev,7,0.0,neutral
gamer indiegamedev indiegames,7,0.0,neutral
chairs high level,6,0.16,positive
high level meet,6,0.16,positive
level meet states,6,0.0,neutral
meet states uts,6,0.0,neutral
states uts public,6,0.0,neutral
uts public health,6,0.0,neutral
public health response,6,0.0,neutral
health response covid,6,0.0,neutral
n n new,6,0.13636363636363635,positive
cases recoveries deaths,6,0.0,neutral
f c f,6,0.0,neutral
covid cases deaths,6,0.0,neutral
vaccine doses administered,6,0.0,neutral
covid infections recoveries,6,0.0,neutral
infections recoveries deaths,6,0.0,neutral
recoveries deaths today,6,0.0,neutral
n e f,6,0.0,neutral
n sep n,5,0.0,neutral
sep n sep,5,0.0,neutral
n nactive cases,5,0.0,neutral
reported new covid,5,0.13636363636363635,positive
n npincode ncovishield,5,0.0,neutral
npincode ncovishield dose,5,0.0,neutral
ncovishield dose slots,5,0.0,neutral
n npincode ncova,5,0.0,neutral
npincode ncova n,5,0.0,neutral
ncova n dose,5,0.0,neutral
n dose slots,5,0.0,neutral
n nage ages,5,0.0,neutral
kerala reports fresh,5,0.3,positive
reports fresh covid,5,0.3,positive
fresh covid infections,5,0.3,positive
f f c,5,0.0,neutral
n n total,4,0.0,neutral
n new cases,4,0.13636363636363635,positive
cases last hours,4,0.0,neutral
day covid vaccination,4,0.0,neutral
live india n,4,0.13636363636363635,positive
day covid report,4,0.0,neutral
covid report india,4,0.0,neutral
india n n,4,0.0,neutral
cases recoveries amp,4,0.0,neutral
recoveries amp deaths,4,0.0,neutral
amp deaths last,4,0.0,neutral
india administers crore,4,0.0,neutral
update n n,4,0.0,neutral
india crosses landmark,4,0.0,neutral
crosses landmark cr,4,0.0,neutral
landmark cr covid,4,0.0,neutral
cr covid vaccination,4,0.0,neutral
covid vaccination pm,4,0.0,neutral
vaccination pm set,4,0.0,neutral
pm set cross,4,0.0,neutral
set cross cr,4,0.0,neutral
cross cr day,4,0.0,neutral
cr day mark,4,0.0,neutral
day mark special,4,0.35714285714285715,positive
mark special drive,4,0.35714285714285715,positive
third wave n,4,0.0,neutral
health ministry n,4,0.0,neutral
ministry n na,4,0.0,neutral
n n india,4,0.0,neutral
covid update cuttack,4,0.0,neutral
update cuttack city,4,0.0,neutral
cuttack city cmc,4,0.0,neutral
city cmc area,4,0.0,neutral
cmc area n,4,0.0,neutral
area n n,4,0.0,neutral
n new covid,4,0.13636363636363635,positive
cases reported today,4,0.0,neutral
reported today cuttack,4,0.0,neutral
today cuttack city,4,0.0,neutral
cuttack city n,4,0.0,neutral
city n na,4,0.0,neutral
new cases covid,4,0.13636363636363635,positive
stay safe n,4,0.5,positive
deaths today n,4,0.0,neutral
today n nactive,4,0.0,neutral
doses administered far,4,0.1,positive
